NUMERO_PLACA,MARCA,COLOR,ANIO DE MATRICULA,MODELO,CLASE,FECHA DE MATRICULA,ANIO,SERVICIO,FECHA DE CADUCIDAD
AA099C,PIAGGIO,VERDE,2017,APE CITY PASSENGER,MOTOCICLETA,30-08-2017,2010,USO PUBLICO, ,
AA430G,TVS,VERDE,2016,KING,MOTOCICLETA,18-04-2016,2016,USO PUBLICO,17-04-2021,
AA794F,TVS,AMARILLO,2015,KING,MOTOCICLETA,23-07-2015,2014,USO PARTICULAR, ,
AB552U,SUZUKI,ROJO,2017,GSX150,MOTOCICLETA,04-12-2017,2018,USO PARTICULAR,03-12-2022,
AB888C,SHINERAY,NEGRO,2018,XY200GY-6I,MOTOCICLETA,02-06-2018,2018,USO PARTICULAR,22-10-2024,
ABA2390,PEUGEOT,ROJO,2014,207 COMPACT ONE LINE 1.4 5P,AUTOMOVIL,05-09-2014,2009,USO PARTICULAR,30-11-2018,
ABA9276,HYUNDAI,BLANCO,2018,HD72 3.9 2P 4X2 TM DIESEL,CAMION,03-09-2018,2010,USO PUBLICO,02-09-2023,
ABA9541,CHEVROLET,BLANCO,2019,SILVERADO HIBRIDO,CAMIONETA,18-09-2019,2009,USO PARTICULAR,16-09-2024,
ABB3343,FORD,ROJO,2014,F 150 DOBLE CABINA 4X2 W1C,CAMIONETA,12-02-2014,2010,USO PARTICULAR,19-06-2022,
ABC1524,CHEVROLET,BLANCO,2018,LUV D-MAX 3.0L DIESEL CD TM 4X4,CAMIONETA,16-05-2018,2009,USO PARTICULAR,15-05-2023,
ABC8923,CHEVROLET,BLANCO,2017,LUV D-MAX CD OPTIMA TM 2.4 4X2,CAMIONETA,14-02-2017,2013,USO PARTICULAR,13-02-2022,
ABH2714,CHERY,BLANCO,2018,A13T TIGGO2 LUX AC 1.5 5P 4X2 TM,SIN VALOR,04-05-2018,2019,USO PARTICULAR,03-05-2023,
AC168M,LONCIN,NEGRO,2018,LX250-11,MOTOCICLETA,21-09-2018,2015,USO PARTICULAR,20-09-2023,
AC659M,BAJAJ,AZUL,2017,PULSAR 135 LS,MOTOCICLETA,03-10-2017,2015,USO PARTICULAR,02-10-2022,
AE070B,SUKIDA,NEGRO,2019,SKRS 250 S STANDAR VERSION,MOTOCICLETA,03-07-2019,2017,USO PARTICULAR,01-07-2024,
AFY0467,MAZDA,VINO,2016,BT-50 2.2 CD,CAMIONETA,17-11-2016,2009,USO PARTICULAR, ,
AGF0374,CHEVROLET,PLOMO,2016,AVEO EMOTION 1.6L GLS NEXT,AUTOMOVIL,20-12-2016,2009,USO PARTICULAR,28-12-2021,
AGF0714,CHEVROLET,ROJO,2018,LUV D-MAX 2.4L CD TM 4X2,CAMIONETA,20-06-2018,2009,USO PARTICULAR,19-06-2023,
BBJ0247,CHEVROLET,AZUL,2016,AVEO ACTIVO 1.6L 5P STD,AUTOMOVIL,07-12-2016,2010,USO PARTICULAR,06-12-2021,
BBJ0285,KENWORTH,AMARILLO,2016,T 800,UNIDAD DE CARGA Y REMOLQUE,19-12-2016,2010,USO PUBLICO,30-12-2021,
BBJ0329,MAZDA,PLOMO,2016,BT-50 CD 4X4 ACTION GAS 2.6 FL,CAMIONETA,28-04-2016,2010,USO PARTICULAR,27-04-2021,
BBW0313,HINO,BLANCO,2018,XZU423L-HKMRD,CAMION,26-04-2018,2009,USO PUBLICO,30-04-2023,
BBW0794,MAZDA,BLANCO,2017,BT-50 CH 4X2 STD GAS 2.2 FL,CAMIONETA,03-05-2017,2011,USO PARTICULAR,02-05-2022,
CAA1229,KIA,ROJO,2019,RIO STYLUS LS AC,AUTOMOVIL,28-10-2019,2013,USO PARTICULAR,31-10-2024,
CAA1504,HYUNDAI,AMARILLO,2019,ACCENT 1.6 4P 4X2 TM,AUTOMOVIL,27-05-2019,2015,USO PUBLICO,31-05-2019,
CAF0364,KIA,AMARILLO,2017,RIO 1.4L LX 4P,AUTOMOVIL,12-05-2017,2010,USO PUBLICO,11-05-2022,
CBA1296,HYUNDAI,PLATEADO,2014,ACCENT 4D 1.4,AUTOMOVIL,31-12-2014,2010,USO PARTICULAR,30-12-2019,
CBA1398,CHEVROLET,PLATEADO,2019,LUV D-MAX 3.0L DIESEL CS TM 4X4,CAMIONETA,26-11-2019,2011,USO PARTICULAR,24-11-2024,
CBA1549,NISSAN,ROJO,2018,NP300 FRONTIER CABINA DOBLE 4X2 2.4 MT 16V,CAMIONETA,31-10-2018,2011,USO PARTICULAR,30-10-2023,
CBA1659,CHEVROLET,AZUL,2016,AVEO ACTIVO 1.6L 4P STD,AUTOMOVIL,21-10-2016,2011,USO PARTICULAR,20-10-2021,
CBA1837,RENAULT,ROJO,2017,SANDERO 1.6 MT EXPRESSION,AUTOMOVIL,18-08-2017,2011,USO PARTICULAR,17-08-2022,
